LocalTime,TradingDay,InstrumentID,ExchangeID,LastPrice,Volume,Turnover,UpperLimitPrice,LowerLimitPrice,UpdateTime,UpdateMillisec,ActionDay
1640089802520605952,20211222,y2212,DCE,8066.0,0,0.0,8564.0,7444.0,18:34:55,0,20211222
1640089802520635092,20211222,v2212,DCE,8231.0,0,0.0,8806.0,7654.0,18:34:55,0,20211222
1640089802520668444,20211222,ag2212,SHFE,4868.0,0,0.0,5331.0,4362.0,18:35:30,400,20211221
1640089802520687553,20211221,MA211,CZCE,2549.0,0,0.0,2747.0,2387.0,19:17:19,0,20211221
1640089802520708625,20211221,TA211,CZCE,4792.0,0,0.0,5070.0,4494.0,19:17:19,0,20211221
1640089802520724865,20211222,y2211,DCE,8076.0,0,0.0,8586.0,7466.0,18:34:55,0,20211222
1640089802520735752,20211222,lu2212,INE,3296.0,0,0.0,3823.0,2768.0,18:35:30,400,20211221
1640089802520745000,20211222,sc2412,INE,431.8,0,0.0,466.3,397.2,18:35:30,400,20211221
1640089802520764856,20211222,v2211,DCE,8181.0,0,0.0,8753.0,7609.0,18:34:55,0,20211222
1640089802520790249,20211222,sc2211,INE,449.4,0,0.0,485.3,413.4,18:35:30,400,20211221
1640089802520796554,20211222,au2203,SHFE,370.56,0,0.0,393.12,348.62,18:35:30,400,20211221
1640089802520861195,20211222,lu2211,INE,3310.0,0,0.0,3574.0,3045.0,18:35:30,400,20211221
1640089802520872979,20211222,lu2210,INE,3281.0,0,0.0,3543.0,3018.0,18:35:30,400,20211221
1640089802520874901,20211222,v2209,DCE,8275.0,0,0.0,8888.0,7726.0,18:34:55,0,20211222
1640089802520909676,20211221,MA209,CZCE,2546.0,0,0.0,2736.0,2378.0,19:17:19,0,20211221
1640089802520919276,20211222,ag2210,SHFE,4818.0,0,0.0,5300.0,4337.0,18:35:30,400,20211221
1640089802521252309,20211222,y2209,DCE,8160.0,0,0.0,8672.0,7540.0,18:34:55,0,20211222
1640089802521257926,20211222,sc2409,INE,435.0,0,0.0,468.2,398.9,18:35:30,400,20211221
1640089802521322060,20211222,au2210,SHFE,373.94,0,0.0,396.2,351.34,18:35:30,400,20211221
1640089802521348147,20211222,sc2207,INE,449.1,0,0.0,485.0,413.1,18:35:30,400,20211221
1640089802521349757,20211222,lu2207,INE,3423.0,0,0.0,3696.0,3149.0,18:35:30,400,20211221
1640089802521374262,20211221,MA208,CZCE,2580.0,0,0.0,2751.0,2391.0,19:17:19,0,20211221
1640089802521382776,20211222,y2208,DCE,8218.0,0,0.0,8736.0,7596.0,18:34:55,0,20211222
1640089802521407664,20211221,TA207,CZCE,4692.0,0,0.0,4902.0,4346.0,19:17:19,0,20211221
1640089802521458473,20211221,TA209,CZCE,4716.0,0,0.0,4944.0,4384.0,19:17:19,0,20211221
1640089802521465902,20211222,sc2208,INE,450.6,0,0.0,486.6,414.5,18:35:30,400,20211221
1640089802521474522,20211222,au2201,SHFE,367.8,0,0.0,390.48,346.26,18:35:30,400,20211221
1640089802521515589,20211222,lu2201,INE,3220.0,0,0.0,3557.0,3030.0,18:35:30,400,20211221
1640089802521553553,20211222,lu2204,INE,3348.0,0,0.0,3594.0,3061.0,18:35:30,400,20211221
1640089802521562020,20211222,sc2406,INE,428.8,0,0.0,463.1,394.4,18:35:30,400,20211221
1640089802521567118,20211221,TA212,CZCE,4794.0,0,0.0,5082.0,4506.0,19:17:19,0,20211221
1640089802521876117,20211222,v2203,DCE,8472.0,0,0.0,9078.0,7892.0,18:34:55,0,20211222
1640089802521882784,20211222,au2202,SHFE,369.72,0,0.0,392.84,348.38,18:35:30,400,20211221
1640089802521918861,20211222,sc2204,INE,450.9,0,0.0,479.5,408.4,18:35:30,400,20211221
1640089802521945353,20211222,sc2309,INE,446.9,0,0.0,482.6,411.1,18:35:30,400,20211221
1640089802521962947,20211222,au2204,SHFE,370.74,0,0.0,394.02,349.4,18:35:30,400,20211221
1640089802521995164,20211221,MA212,CZCE,2555.0,0,0.0,2732.0,2374.0,19:17:19,0,20211221
1640089802522034518,20211221,TA202,CZCE,4604.0,0,0.0,4828.0,4280.0,19:17:19,0,20211221
1640089802522050983,20211222,v2201,DCE,8515.0,0,0.0,9111.0,7919.0,18:34:55,0,20211222
1640089802522060023,20211222,lu2202,INE,3420.0,0,0.0,3679.0,3134.0,18:35:30,400,20211221
1640089802522083535,20211222,ag2202,SHFE,4740.0,0,0.0,5192.0,4248.0,18:35:30,400,20211221
1640089802522120271,20211222,y2203,DCE,8580.0,0,0.0,9084.0,7896.0,18:34:55,0,20211222
1640089802522777598,20211222,sc2212,INE,436.7,0,0.0,474.2,403.9,18:35:30,400,20211221
1640089802522810017,20211222,sc2303,INE,443.2,0,0.0,478.5,407.6,18:35:30,400,20211221
1640089802522832120,20211222,lu2208,INE,3355.0,0,0.0,3623.0,3086.0,18:35:30,400,20211221
1640089802522854386,20211222,ag2207,SHFE,4807.0,0,0.0,5269.0,4311.0,18:35:30,400,20211221
1640089802523232392,20211221,TA203,CZCE,4618.0,0,0.0,4836.0,4288.0,19:17:19,0,20211221
1640089802523259266,20211222,sc2306,INE,436.4,0,0.0,471.3,401.4,18:35:30,400,20211221
1640089802523287921,20211222,sc2209,INE,448.2,0,0.0,483.5,411.8,18:35:30,400,20211221
1640089802523295113,20211222,v2210,DCE,8348.0,0,0.0,8932.0,7764.0,18:34:55,0,20211222
1640089802523316647,20211222,au2212,SHFE,374.3,0,0.0,397.44,352.46,18:35:30,400,20211221
1640089802523327850,20211222,sc2202,INE,454.4,0,0.0,482.6,411.1,18:35:30,400,20211221
1640089802523338392,20211221,TA201,CZCE,4610.0,0,0.0,4878.0,4238.0,19:17:19,0,20211221
1640089802523340410,20211222,ag2201,SHFE,4733.0,0,0.0,5185.0,4242.0,18:35:30,400,20211221
1640089802523355536,20211222,lu2205,INE,3336.0,0,0.0,3574.0,3045.0,18:35:30,400,20211221
1640089802523382826,20211221,MA205,CZCE,2568.0,0,0.0,2823.0,2355.0,19:17:19,0,20211221
1640089802523384521,20211222,v2202,DCE,8471.0,0,0.0,9084.0,7896.0,18:34:55,0,20211222
1640089802523404518,20211221,TA206,CZCE,4676.0,0,0.0,4906.0,4350.0,19:17:19,0,20211221
1640089802523416863,20211221,MA206,CZCE,2562.0,0,0.0,2761.0,2399.0,19:17:19,0,20211221
1640089802523425483,20211222,sc2403,INE,428.9,0,0.0,463.2,394.5,18:35:30,400,20211221
1640089802523434700,20211221,TA210,CZCE,4774.0,0,0.0,5024.0,4452.0,19:17:19,0,20211221
1640089802523441815,20211222,ag2203,SHFE,4753.0,0,0.0,5205.0,4258.0,18:35:30,400,20211221
1640089802523467924,20211222,lu2203,INE,3382.0,0,0.0,3626.0,3089.0,18:35:30,400,20211221
1640089802523474264,20211222,y2205,DCE,8376.0,0,0.0,8890.0,7730.0,18:34:55,0,20211222
1640089802523490721,20211222,ag2208,SHFE,4821.0,0,0.0,5275.0,4316.0,18:35:30,400,20211221
1640089802523509631,20211222,v2206,DCE,8386.0,0,0.0,8994.0,7818.0,18:34:55,0,20211222
1640089802523521710,20211221,MA201,CZCE,2646.0,0,0.0,2902.0,2422.0,19:17:19,0,20211221
1640089802523531876,20211222,sc2203,INE,452.8,0,0.0,482.0,410.5,18:35:30,400,20211221
1640089802523535245,20211222,sc2201,INE,455.0,0,0.0,491.0,418.3,18:35:30,400,20211221
1640089802523568624,20211222,ag2211,SHFE,4844.0,0,0.0,5281.0,4320.0,18:35:30,400,20211221
1640089802523588872,20211221,MA202,CZCE,2609.0,0,0.0,2857.0,2385.0,19:17:19,0,20211221
1640089802523906926,20211222,v2207,DCE,8443.0,0,0.0,8950.0,7780.0,18:34:55,0,20211222
1640089802523925045,20211222,au2206,SHFE,371.64,0,0.0,394.86,350.16,18:35:30,400,20211221
1640089802523965442,20211222,lu2209,INE,3036.0,0,0.0,3278.0,2793.0,18:35:30,400,20211221
1640089802523968969,20211222,ag2206,SHFE,4795.0,0,0.0,5250.0,4295.0,18:35:30,400,20211221
1640089802523974676,20211222,ag2205,SHFE,4779.0,0,0.0,5234.0,4283.0,18:35:30,400,20211221
1640089802524017120,20211222,sc2312,INE,435.1,0,0.0,469.9,400.2,18:35:30,400,20211221
1640089802524048143,20211222,ag2209,SHFE,4809.0,0,0.0,5270.0,4311.0,18:35:30,400,20211221
1640089802524120734,20211221,MA210,CZCE,2546.0,0,0.0,2746.0,2386.0,19:17:19,0,20211221
1640089802524184052,20211222,sc2205,INE,450.8,0,0.0,481.4,410.1,18:35:30,400,20211221
1640089802524202279,20211222,lu2206,INE,3280.0,0,0.0,3542.0,3017.0,18:35:30,400,20211221
1640089802524524661,20211221,TA205,CZCE,4666.0,0,0.0,4884.0,4328.0,19:17:19,0,20211221
1640089802524526738,20211221,TA204,CZCE,4646.0,0,0.0,4870.0,4318.0,19:17:19,0,20211221
1640089802524557287,20211221,MA204,CZCE,2581.0,0,0.0,2837.0,2367.0,19:17:19,0,20211221
1640089802524569959,20211222,ag2204,SHFE,4765.0,0,0.0,5222.0,4273.0,18:35:30,400,20211221
1640089802524595047,20211222,v2204,DCE,8466.0,0,0.0,9078.0,7892.0,18:34:55,0,20211222
1640089802524658880,20211221,TA208,CZCE,4708.0,0,0.0,4952.0,4388.0,19:17:19,0,20211221
1640089802524686475,20211222,v2205,DCE,8423.0,0,0.0,9040.0,7858.0,18:34:55,0,20211222
1640089802525164013,20211222,au2208,SHFE,372.52,0,0.0,395.8,350.98,18:35:30,400,20211221
1640089802525205189,20211222,y2201,DCE,8868.0,0,0.0,9410.0,8182.0,18:34:55,0,20211222
1640089802525210794,20211222,v2208,DCE,8401.0,0,0.0,8748.0,7604.0,18:34:55,0,20211222
1640089802525235489,20211222,sc2206,INE,450.5,0,0.0,479.8,408.7,18:35:30,400,20211221
1640089802525261441,20211222,sc2210,INE,450.1,0,0.0,481.3,410.0,18:35:30,400,20211221
1640089802525271480,20211221,MA203,CZCE,2592.0,0,0.0,2846.0,2376.0,19:17:19,0,20211221
1640089802525285310,20211222,y2207,DCE,8278.0,0,0.0,8796.0,7648.0,18:34:55,0,20211222
1640089802525300600,20211221,MA207,CZCE,2559.0,0,0.0,2758.0,2396.0,19:17:19,0,20211221
1640091300112598306,20211221,TA201,CZCE,4610.0,0,0.0,4878.0,4238.0,20:55:00,0,20211221
1640091300112731358,20211221,TA205,CZCE,4666.0,0,0.0,4884.0,4328.0,20:55:00,0,20211221
1640091300566948305,20211221,MA201,CZCE,2646.0,0,0.0,2902.0,2422.0,20:55:00,0,20211221
1640091300566987143,20211221,MA202,CZCE,2609.0,0,0.0,2857.0,2385.0,20:55:00,0,20211221
1640091300567127493,20211221,MA203,CZCE,2592.0,0,0.0,2846.0,2376.0,20:55:00,0,20211221
1640091300594063406,20211221,MA205,CZCE,2568.0,0,0.0,2823.0,2355.0,20:55:00,0,20211221
1640091300594076012,20211221,MA209,CZCE,2546.0,0,0.0,2736.0,2378.0,20:55:00,0,20211221
1640091300594145948,20211221,TA201,CZCE,4610.0,0,0.0,4878.0,4238.0,20:55:00,0,20211221
1640091300594152699,20211221,TA203,CZCE,4618.0,0,0.0,4836.0,4288.0,20:55:00,0,20211221
1640091300594156010,20211221,TA205,CZCE,4666.0,0,0.0,4884.0,4328.0,20:55:00,0,20211221
1640091301065747399,20211221,MA203,CZCE,2592.0,0,0.0,2846.0,2376.0,20:55:01,0,20211221
1640091301065816777,20211221,MA205,CZCE,2568.0,0,0.0,2823.0,2355.0,20:55:01,0,20211221
1640091301066269220,20211221,TA201,CZCE,4610.0,0,0.0,4878.0,4238.0,20:55:00,0,20211221
1640091301066393517,20211221,TA202,CZCE,4604.0,0,0.0,4828.0,4280.0,20:55:01,0,20211221
1640091301092864943,20211221,TA205,CZCE,4666.0,0,0.0,4884.0,4328.0,20:55:01,0,20211221
1640091301092877996,20211221,TA209,CZCE,4716.0,0,0.0,4944.0,4384.0,20:55:01,0,20211221
1640091301567050573,20211221,TA201,CZCE,4610.0,0,0.0,4878.0,4238.0,20:55:01,0,20211221
1640091301567184470,20211221,TA203,CZCE,4618.0,0,0.0,4836.0,4288.0,20:55:01,0,20211221
1640091301567354323,20211221,TA205,CZCE,4666.0,0,0.0,4884.0,4328.0,20:55:01,0,20211221
1640091302064553016,20211221,MA205,CZCE,2568.0,0,0.0,2823.0,2355.0,20:55:02,0,20211221
1640091303063108959,20211221,MA203,CZCE,2592.0,0,0.0,2846.0,2376.0,20:55:03,0,20211221
1640091303564409426,20211221,TA205,CZCE,4666.0,0,0.0,4884.0,4328.0,20:55:03,0,20211221
1640091304564751164,20211221,MA209,CZCE,2546.0,0,0.0,2736.0,2378.0,20:55:04,0,20211221
1640091304565158026,20211221,TA203,CZCE,4618.0,0,0.0,4836.0,4288.0,20:55:04,0,20211221
1640091305064997588,20211221,MA202,CZCE,2609.0,0,0.0,2857.0,2385.0,20:55:05,0,20211221
1640091305065221372,20211221,MA203,CZCE,2592.0,0,0.0,2846.0,2376.0,20:55:04,0,20211221
1640091305567342849,20211221,MA202,CZCE,2609.0,0,0.0,2857.0,2385.0,20:55:05,0,20211221
1640091305568262780,20211221,TA203,CZCE,4618.0,0,0.0,4836.0,4288.0,20:55:05,0,20211221
1640091306065523476,20211221,MA202,CZCE,2609.0,0,0.0,2857.0,2385.0,20:55:05,0,20211221
1640091307066323597,20211221,MA205,CZCE,2568.0,0,0.0,2823.0,2355.0,20:55:07,0,20211221
1640091307066909288,20211221,TA203,CZCE,4618.0,0,0.0,4836.0,4288.0,20:55:07,0,20211221
1640091307067127336,20211221,TA205,CZCE,4666.0,0,0.0,4884.0,4328.0,20:55:07,0,20211221
1640091307566592429,20211221,MA202,CZCE,2609.0,0,0.0,2857.0,2385.0,20:55:07,0,20211221
1640091308065888371,20211221,TA205,CZCE,4666.0,0,0.0,4884.0,4328.0,20:55:08,0,20211221
1640091308567078464,20211221,MA202,CZCE,2609.0,0,0.0,2857.0,2385.0,20:55:08,0,20211221
1640091309066963716,20211221,MA201,CZCE,2646.0,0,0.0,2902.0,2422.0,20:55:08,0,20211221
1640091309067138062,20211221,MA203,CZCE,2592.0,0,0.0,2846.0,2376.0,20:55:08,0,20211221
1640091309067264100,20211221,TA205,CZCE,4666.0,0,0.0,4884.0,4328.0,20:55:08,0,20211221
1640091309567821884,20211221,TA201,CZCE,4610.0,0,0.0,4878.0,4238.0,20:55:09,0,20211221
1640091309567957798,20211221,TA209,CZCE,4716.0,0,0.0,4944.0,4384.0,20:55:09,0,20211221
1640091310567328014,20211221,TA201,CZCE,4610.0,0,0.0,4878.0,4238.0,20:55:10,0,20211221
1640091312068250528,20211221,TA201,CZCE,4610.0,0,0.0,4878.0,4238.0,20:55:12,0,20211221
1640091312569333143,20211221,TA205,CZCE,4666.0,0,0.0,4884.0,4328.0,20:55:12,0,20211221
